timestamp,hvac_status,lighting_status,ventilation_status,equipment_load
2024-01-01 00:00:00,idle,on,low,0.8246639912402298
2024-01-01 00:01:00,off,off,low,0.30065492461377413
2024-01-01 00:02:00,idle,on,low,0.6181414156355347
2024-01-01 00:03:00,off,off,low,0.42878852926211886
2024-01-01 00:04:00,idle,on,low,0.3565154742498823
2024-01-01 00:05:00,off,off,low,0.6191826102386353
2024-01-01 00:06:00,idle,on,low,0.7480959036894566
2024-01-01 00:07:00,off,off,low,0.5473635134846279
2024-01-01 00:08:00,idle,on,low,0.7020644696066609
2024-01-01 00:09:00,off,off,low,0.5938315523045701
2024-01-01 00:10:00,idle,on,low,0.5622515195756557
2024-01-01 00:11:00,off,off,low,0.4741539842615164
2024-01-01 00:12:00,idle,on,low,0.5295561087006028
2024-01-01 00:13:00,off,off,low,0.5098773784766568
2024-01-01 00:14:00,idle,on,low,0.6877123104089289
2024-01-01 00:15:00,off,off,low,0.3696111067674837
2024-01-01 00:16:00,idle,on,low,0.3555818212126836
2024-01-01 00:17:00,off,off,low,0.6960077965250763
2024-01-01 00:18:00,idle,on,low,0.6277788419273285
2024-01-01 00:19:00,off,off,low,0.5581200580455945
2024-01-01 00:20:00,idle,on,low,0.3914657306447421
2024-01-01 00:21:00,off,off,low,0.546616267121587
2024-01-01 00:22:00,idle,on,low,0.773839057992007
2024-01-01 00:23:00,off,off,low,0.8337727414735543
2024-01-01 00:24:00,idle,on,low,0.7215459419785322
2024-01-01 00:25:00,off,off,low,0.3359473055285285
2024-01-01 00:26:00,idle,on,low,0.7022458659606712
2024-01-01 00:27:00,off,off,low,0.44459135372777675
2024-01-01 00:28:00,idle,on,low,0.48915074581584306
2024-01-01 00:29:00,off,off,low,0.4175239247759907
2024-01-01 00:30:00,idle,on,low,0.7654534743721229
2024-01-01 00:31:00,off,off,low,0.6891612735823675
2024-01-01 00:32:00,idle,on,low,0.6671010327595086
2024-01-01 00:33:00,off,off,low,0.7007835658015658
2024-01-01 00:34:00,idle,on,low,0.44206335684234205
2024-01-01 00:35:00,off,off,low,0.566786648595217
2024-01-01 00:36:00,idle,on,low,0.6799522329293936
2024-01-01 00:37:00,off,off,low,0.6819564165709803
2024-01-01 00:38:00,idle,on,low,0.7751111176530784
2024-01-01 00:39:00,off,off,low,0.47226238001286636
2024-01-01 00:40:00,idle,on,low,0.7622016730180935
2024-01-01 00:41:00,off,off,low,0.5641106883701614
2024-01-01 00:42:00,idle,on,low,0.7021036152353609
2024-01-01 00:43:00,off,off,low,0.573431628039172
2024-01-01 00:44:00,idle,on,low,0.869166101874566
2024-01-01 00:45:00,off,off,low,0.4075813588449867
2024-01-01 00:46:00,idle,on,low,0.7050030531494142
2024-01-01 00:47:00,off,off,low,0.6459210004608954
2024-01-01 00:48:00,idle,on,low,0.40363862456864674
2024-01-01 00:49:00,off,off,low,0.33960380148700076
2024-01-01 00:50:00,idle,on,low,0.7794866333829982
2024-01-01 00:51:00,off,off,low,0.3944708001877591
2024-01-01 00:52:00,idle,on,low,0.41190400967146557
2024-01-01 00:53:00,off,off,low,0.8870605343934237
2024-01-01 00:54:00,idle,on,low,0.7303565108859785
2024-01-01 00:55:00,off,off,low,0.45029210496073346
2024-01-01 00:56:00,idle,on,low,0.6545693760909608
2024-01-01 00:57:00,off,off,low,0.6204671030415081
2024-01-01 00:58:00,idle,on,low,0.8066839605083085
2024-01-01 00:59:00,off,off,low,0.7375924486995746
2024-01-01 01:00:00,idle,on,low,0.7990326752959116
2024-01-01 01:01:00,off,off,low,0.42690395278641746
2024-01-01 01:02:00,idle,on,low,0.6841315226202032
2024-01-01 01:03:00,off,off,low,0.3241445150510282
2024-01-01 01:04:00,idle,on,low,0.34136436736753206
2024-01-01 01:05:00,off,off,low,0.7281162196227584
2024-01-01 01:06:00,idle,on,low,0.3146520615863588
2024-01-01 01:07:00,off,off,low,0.6478590053403055
2024-01-01 01:08:00,idle,on,low,0.804243059066718
2024-01-01 01:09:00,off,off,low,0.5279650850508172
2024-01-01 01:10:00,idle,on,low,0.3269042621039477
2024-01-01 01:11:00,off,off,low,0.7283084697772362
2024-01-01 01:12:00,idle,on,low,0.8578118714784906
2024-01-01 01:13:00,off,off,low,0.7303028352349608
2024-01-01 01:14:00,idle,on,low,0.6470683458016653
2024-01-01 01:15:00,off,off,low,0.43801729792743604
2024-01-01 01:16:00,idle,on,low,0.3092253744266982
2024-01-01 01:17:00,off,off,low,0.7168032650874321
2024-01-01 01:18:00,idle,on,low,0.4386157055065758
2024-01-01 01:19:00,off,off,low,0.8148976063094147
2024-01-01 01:20:00,idle,on,low,0.5798184712995669
2024-01-01 01:21:00,off,off,low,0.6183813494234738
2024-01-01 01:22:00,idle,on,low,0.75236192655982
2024-01-01 01:23:00,off,off,low,0.7676583646820059
2024-01-01 01:24:00,idle,on,low,0.6855904998483409
2024-01-01 01:25:00,off,off,low,0.863059089247646
2024-01-01 01:26:00,idle,on,low,0.8893790617922517
2024-01-01 01:27:00,off,off,low,0.8681312666247702
2024-01-01 01:28:00,idle,on,low,0.7945075112063662
2024-01-01 01:29:00,off,off,low,0.7233751321465509
2024-01-01 01:30:00,idle,on,low,0.6979955147290006
2024-01-01 01:31:00,off,off,low,0.36225010615232034
2024-01-01 01:32:00,idle,on,low,0.46289060809146754
2024-01-01 01:33:00,off,off,low,0.3034129341176262
2024-01-01 01:34:00,idle,on,low,0.38244592214039513
2024-01-01 01:35:00,off,off,low,0.5635376863015131
2024-01-01 01:36:00,idle,on,low,0.38792193047344403
2024-01-01 01:37:00,off,off,low,0.8409980488060549
2024-01-01 01:38:00,idle,on,low,0.7834195112011693
2024-01-01 01:39:00,off,off,low,0.3429671472537109
2024-01-01 01:40:00,idle,on,low,0.44934822928035967
2024-01-01 01:41:00,off,off,low,0.7914431307669054
2024-01-01 01:42:00,idle,on,low,0.7818276759359242
2024-01-01 01:43:00,off,off,low,0.8672703300706734
2024-01-01 01:44:00,idle,on,low,0.8985286569704163
2024-01-01 01:45:00,off,off,low,0.8857620379446731
2024-01-01 01:46:00,idle,on,low,0.5460827914328649
2024-01-01 01:47:00,off,off,low,0.45019706628121936
2024-01-01 01:48:00,idle,on,low,0.7550461142562375
2024-01-01 01:49:00,off,off,low,0.4795637356464185
2024-01-01 01:50:00,idle,on,low,0.7838402160787978
2024-01-01 01:51:00,off,off,low,0.6203728382387547
2024-01-01 01:52:00,idle,on,low,0.7763563651409724
2024-01-01 01:53:00,off,off,low,0.46552792783020625
2024-01-01 01:54:00,idle,on,low,0.6048163893322925
2024-01-01 01:55:00,off,off,low,0.6384142761613092
2024-01-01 01:56:00,idle,on,low,0.8658648406320792
2024-01-01 01:57:00,off,off,low,0.4599585460982504
2024-01-01 01:58:00,idle,on,low,0.8620129435709369
2024-01-01 01:59:00,off,off,low,0.7829153492794296
2024-01-01 02:00:00,idle,on,low,0.7385364324520172
2024-01-01 02:01:00,off,off,low,0.7721221615110752
2024-01-01 02:02:00,idle,on,low,0.6632550275280342
2024-01-01 02:03:00,off,off,low,0.4464480062774915
2024-01-01 02:04:00,idle,on,low,0.41369698130391164
2024-01-01 02:05:00,off,off,low,0.8198048615102342
2024-01-01 02:06:00,idle,on,low,0.7350836415575
2024-01-01 02:07:00,off,off,low,0.42792256965656944
2024-01-01 02:08:00,idle,off,low,0.669056019524641
2024-01-01 02:09:00,off,off,low,0.5685278888485343
2024-01-01 02:10:00,idle,on,low,0.39519310197785634
2024-01-01 02:11:00,off,off,low,0.6191142656142987
2024-01-01 02:12:00,idle,on,low,0.46891145547985036
2024-01-01 02:13:00,off,off,low,0.35774647449454294
2024-01-01 02:14:00,idle,on,low,0.5801749791272466
2024-01-01 02:15:00,off,off,low,0.6540651312561372
2024-01-01 02:16:00,idle,on,low,0.3281438462286903
2024-01-01 02:17:00,off,off,low,0.5412556496465981
2024-01-01 02:18:00,idle,on,low,0.4545971519020112
2024-01-01 02:19:00,off,off,low,0.31839035442433944
2024-01-01 02:20:00,idle,on,low,0.3753975297669035
2024-01-01 02:21:00,off,off,low,0.3834204952910265
2024-01-01 02:22:00,idle,on,low,0.4097245488707827
2024-01-01 02:23:00,off,off,low,0.7820265428627529
2024-01-01 02:24:00,off,on,low,0.5636951198868836
2024-01-01 02:25:00,off,off,low,0.38825159536223214
2024-01-01 02:26:00,idle,on,low,0.36017818015673353
2024-01-01 02:27:00,off,off,low,0.4787642752374235
2024-01-01 02:28:00,idle,on,low,0.7788093112226715
2024-01-01 02:29:00,off,off,low,0.5186759087637861
2024-01-01 02:30:00,idle,on,low,0.39593841617636283
2024-01-01 02:31:00,off,off,low,0.542469708927696
2024-01-01 02:32:00,idle,on,low,0.6331869343722345
2024-01-01 02:33:00,off,off,low,0.3177505101828083
