timestamp,sensor_id,temperature,humidity,co2,light_level,zone
2024-01-01 00:00:00,sensor_000,21.5,48.6,491.0,154.0,zone_1
2024-01-01 00:02:00,sensor_001,21.6,47.8,483.0,154.0,zone_2
2024-01-01 00:04:00,sensor_002,21.9,49.9,440.0,161.0,zone_3
2024-01-01 00:06:00,sensor_003,22.0,50.5,484.0,143.0,zone_4
2024-01-01 00:08:00,sensor_004,21.3,48.1,511.0,168.0,zone_5
2024-01-01 00:10:00,sensor_005,21.7,51.6,485.0,187.0,zone_1
2024-01-01 00:12:00,sensor_006,22.1,50.0,499.0,171.0,zone_2
2024-01-01 00:14:00,sensor_007,21.3,48.6,445.0,160.0,zone_3
2024-01-01 00:16:00,sensor_008,21.6,48.5,472.0,176.0,zone_4
2024-01-01 00:18:00,sensor_009,21.4,50.6,468.0,178.0,zone_5
2024-01-01 00:20:00,sensor_000,21.8,50.4,513.0,187.0,zone_1
2024-01-01 00:22:00,sensor_001,21.5,48.8,449.0,160.0,zone_2
2024-01-01 00:24:00,sensor_002,21.9,49.3,510.0,164.0,zone_3
2024-01-01 00:26:00,sensor_003,21.8,48.8,466.0,170.0,zone_4
2024-01-01 00:28:00,sensor_004,22.2,49.7,453.0,151.0,zone_5
2024-01-01 00:30:00,sensor_005,22.0,49.4,438.0,179.0,zone_1
2024-01-01 00:32:00,sensor_006,22.2,51.1,480.0,180.0,zone_2
2024-01-01 00:34:00,sensor_007,21.5,50.3,468.0,175.0,zone_3
2024-01-01 00:36:00,sensor_008,22.1,48.8,472.0,191.0,zone_4
2024-01-01 00:38:00,sensor_009,21.5,50.3,499.0,186.0,zone_5
2024-01-01 00:40:00,sensor_000,22.0,49.8,468.0,173.0,zone_1
2024-01-01 00:42:00,sensor_001,22.1,51.0,443.0,187.0,zone_2
2024-01-01 00:44:00,sensor_002,21.3,49.7,476.0,202.0,zone_3
2024-01-01 00:46:00,sensor_003,21.7,49.9,478.0,163.0,zone_4
2024-01-01 00:48:00,sensor_004,21.7,50.6,459.0,156.0,zone_5
2024-01-01 00:50:00,sensor_005,21.6,49.8,484.0,176.0,zone_1
